WO,Machine_categori,Machine_description,Instruction,Short_description,Technicians_description,Spareparts,Costumer_mistake_mads,Invoiced
WO046314,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Maskinen melder vandflowfejl Har gjort det før Gør det i forbindelse med udlevering af te ,Maskinen melder vandflowfejl Har gjort det før Gør det i forbindelse med udlevering af te,Kode til tekniker Tea Water WaterFlowmeter Flow lower than 10 0 ml in 1 0 s Se løsningsforslag i fejlkodedokumentet,,Ja,Nej
WO046332,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Slangen til mælk er knækket gået i stykker og de kan ikke selv reparere det ,Slangen til mælk er knækket gået i stykker og de kan ikke selv reparere det,Havde en slange i bilen der er skrevet ud,,Ja,Nej
WO046318,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Beder om rengøring hele tiden ,Beder om rengøring hele tiden,ASA Kan ikke uddybe mere har fået besked fra kollega ,,Ja,Nej
WO046317,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Fejlsøge på maskinen vil ikke udlevere mælk Har forsøgt at rense efterse mælkesuge slange på maskine uden held ,Fejlsøge på maskinen vil ikke udlevere mælk Har forsøgt at rense efterse mælkesuge slange på maskine uden held,,130307949;101224,Nej,Nej
WO046300,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Der siver vand ud når maskinen udlevere drikke og når der udføres rengøringsprogram Kan ikke se hvor vand kommer fra VVS'er har konkluderet at det er i forbindelse med brug af kaffemaskinen ,Der siver vand ud når maskinen udlevere drikke og når der udføres rengøringsprogram Kan ikke se hvor vand kommer fra VVS'er har konkluderet at det er i forbindelse med brug af kaffemaskinen,ASA De kan ikke se hvor der er vådt ved kaffemaskinen men de er sikre på at der siver vand fra kaffemaskinen ,130307949,Ja,Nej
WO046307,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Efter service smager kaffen ikke godt Der kommer kun kaffe ud af det ene udløb Når udløbshoved skubbes op er det som om den hele sidder løst Løs mærkelig ved rengøringsprogram i morges ,Efter service smager kaffen ikke godt Der kommer kun kaffe ud af det ene udløb Når udløbshoved skubbes op er det som om den hele sidder løst Løs mærkelig ved rengøringsprogram i morges,,,Nej,Nej
WO046255,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Meget gerne besøg i dag Køleskabet er varmt og siger en høj skinger lyd hver 3 4 minut kunne høre det i telefonen De kan trække kaffedrik men tør ikke prøve med mælkedrik ,Meget gerne besøg i dag Køleskabet er varmt og siger en høj skinger lyd hver 34 minut kunne høre det i telefonen De kan trække kaffedrik men tør ikke prøve med mælkedrik,køl lånt fra maskine i Bentax showroom spørg eventuelt MB,126238,Nej,Nej
WO046278,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Splitten i rød rensenøgle er knækket,Splitten i rød rensenøgle er knækket,Ringet ind lørdag vil meget gerne hvis vi kan komme mandag,133555,Ja,Ja
WO046299,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,2 fejl 1 Maskinen udleverer ikke kakao den stopper til 2 Vand under maskinen v rens så de må tørre op ,2 fejl 1 Maskinen udleverer ikke kakao den stopper til 2 Vand under maskinen v rens så de må tørre op,,130307949,Ja,Nej
WO046273,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Flow error,flow error,2 8 KAR jeg har snakket med Mia hun har testet at flowfejl kommer både på Americano og kaffe men ikke på tevand Audi vil ikke betale vagtudkald Lovet mandag formiddag hvis muligt Kaj HKN vandpumpe lyder lidt mærkeligt men den laver det rigtig tryk vil lige tiden an om den evt skal have en ny vandpumpe ,,Nej,Nej
WO046199,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Sag 2 af 2 Ankommer Hirtshals lørdag 12 30 15 30 Ved drikken mælk eller ved kakao med mælk er mælken OK Når mælk skal skummes sprøjter den bobler ud Sker sporadisk Efter rengøring kan der nogle gange laves 4 drikke med mælkeskum før de oplever det ,Sag 2 af 2  drikken mælk eller ved kakao med mælk er mælken OKNår mælk skal skummes sprøjter den bobler ud Sker sporadisk Efter rengøring kan der nogle gange laves 4 drikke med mælkeskum før de oplever det,Køleskab 60L måske er det serienr 2103020279 den benytter og deler med anden maskine ASA Jeg har bedt dem om at si deres mælk for at tjekke om der er uregelmæssigheder i konsistensen Benytter 1 5% 10 Liter mælk fra Arla ASA 1 8 Kathrine har siet mælken ingen fremmedlegemer eller klumper eller lign fundet i mælken Kørt rengøringsprogram uden si i mælkesug Mælkesug er afmonteret og rengjort Det har ikke hjulpet ,118594;119414;127791,Måske,Nej
WO046198,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Sag 1 af 2 Ankommer Hirtshals lørdag 12 30 15 30 Ved drikken mælk eller ved kakao med mælk er mælken OK Når mælk skal skummes sprøjter den bobler ud Sker sporadisk Efter rengøring kan der nogle gange laves 4 drikke med mælkeskum før de oplever det ,Sag 1 af 2 Ankommer Hirtshals lørdag 1230 1530 Ved drikken mælk eller ved kakao med mælk er mælken OK Når mælk skal skummes sprøjter den bobler ud Sker sporadisk Efter rengøring kan der nogle gange laves 4 drikke med mælkeskum før de oplever det,Køleskab 60L måske er det serienr 2103020279 den benytter og deler med anden maskine ASA Jeg har bedt dem om at si deres mælk for at tjekke om der er uregelmæssigheder i konsistensen Benytter 1 5% 10 Liter mælk fra Arla ASA 1 8 Kathrine har siet mælken ingen fremmedlegemer eller klumper eller lign fundet i mælken Kørt rengøringsprogram uden si i mælkesug Mælkesug er afmonteret og rengjort Det har ikke hjulpet ,119414;118594;127791,Måske,Nej
WO046272,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,En af maskinerne BW4c slår sikring Har taget alt andet udstyr fra Ved ikke hvilken af maskinerne der tager sikringen da de ikke kan tage ledningen ud af membrandåse Maskiner er slukket på kontakt og tager alligevel strøm ,En af maskinerne BW4c slår sikring Har taget alt andet udstyr fra Ved ikke hvilken af maskinerne der tager sikringen da de ikke kan tage ledningen ud af membrandåse Maskiner er slukket på kontakt og tager alligevel strøm,ASA Kørt på samme igen d 8 8 spørg tekniker om denne skal være U B hverdags takst Opgave ikke løst derfor U B ASA De er info pris på vagtudkald Ønsker vagtudkald PAF ringer til kunde fredag 2 8 14 40 og prøver at hjælpe over tlf og aftaler nærmere om besøg med kunde ,136318;126284;127140,Nej,Nej
WO046229,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Dette er 3 fejlmelding på mælk til latte Ved latte giver den ikke mælk igen det kommer næsten hver gang der skal laves latte Filter i mælkesug er tjekket og det er ikke stoppet til Kaffestrålen er helt vildt tynd ved latte Ved cappuccino er den OK den er lige tjekket Giver flot mælk og fint espressoshot ,Dette er 3 fejlmelding på mælk til latte Ved latte giver den ikke mælk igen det kommer næsten hver gang der skal laves latte Filter i mælkesug er tjekket og det er ikke stoppet til Kaffestrålen er helt vildt tynd ved latteVed cappuccino er den OK den er lige tjekket Giver flot mælk og fint espressoshot,ASA Er info ekstra ventetid på tekniker hvilket var OK ,126326,Nej,Nej
WO046230,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,"Skærmen fryser stadigt og der udleveres kun vand hver anden gang de forsøger at lave en drik så det bliver noget ""Mærkeligt væske"" ","Skærmen fryser stadigt og der udleveres kun vand hver anden gang de forsøger at lave en drik så det bliver noget ""Mærkeligt væske""",,126313;125723;127791,Nej,Nej
WO046225,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Efter besøg i går kommer der nu slet ikke noget mælk ud Kunde har tjekket at mælken ikke er frosset ,Efter besøg i går kommer der nu slet ikke noget mælk ud Kunde har tjekket at mælken ikke er frosset,ASA U B da vi har skiftet slanger Næste gang skal vi spørge kunde om at si mælken inden vi kører på mælkeproblemer ,140720,Ja,Nej
WO046260,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Slange der går fra væg til kalkfilter er knækket faldet af ,Slange der går fra væg til kalkfilter er knækket faldet af,,1449726,Måske,Nej
WO046232,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC extern grums,Ring og info om tid for besøg Røde pind bag rensenøgle er knækket ,Ring og info om tid for besøgRøde pind bag rensenøgle er knækket,ASA Er normalt en opagev der faktureres men da tekniker har valgt kunde skal ikke faktureres bogføres denne til 0 kroner ,133555,Ja,Nej
WO046203,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC MDB-T,Ved americano melder den ofte water flow error Han fortæller at der også er fejl på maskine på 3 sal Men iht TC er alt ok på 3 sal så der oprettes ingen WO på den maskine Der er sag på forebyggende med filter på alle 3 maskiner hvis ikke det kan nås må du meget gerne nulstille service og filtertæller på alle 3 maskiner ,Ved americano melder den ofte water flow errorHan fortæller at der også er fejl på maskine på 3 sal Men iht TC er alt ok på 3 sal så der oprettes ingen WO på den maskineDer er sag på forebyggende med filter på alle 3 maskiner hvis ikke det kan nås må du meget gerne nulstille service og filtertæller på alle 3 maskiner,Fejl fra Thermoplan Connect Americano Water WaterFlowmeter Flow lower than 10 0 ml in 1 0 s,,Måske,Nej
WO046158,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Flow error Justering af recept til African ,Flow error Justering af recept til African,,125033R,Nej,Nej
WO046185,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Der er problemer med rengrøring Den røde 'dims' omme bagved rengøringstabsen er knækket ,Der er problemer med rengrøring Den røde 'dims' omme bagved rengøringstabsen er knækket,,133555,Ja,Ja
WO046184,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Efter besøg i sidste uge kommer der næsten ingen mælk ud til mælkedrikke Ingen fejlbesked ,Efter besøg i sidste uge kommer der næsten ingen mælk ud til mælkedrikke Ingen fejlbesked,,,Ja,Nej
WO046140,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Der løber meget vand ud af maskinen Er set i går og i dag Kommer umiddelbart fra midten lidt mod højre side Drypbakke er skubbet helt ind på maskinen ,Der løber meget vand ud af maskinen Er set i går og i dag Kommer umiddelbart fra midten lidt mod højre side Drypbakke er skubbet helt ind på maskinen,Utæt bryg ventil jeg måtte hente en hos Frank,127140;127140;107944;107944;127135;127135;107944,Nej,Nej
WO046142,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Melder fejl i status styreenhed igen Mælkedrikke er ikke valgbare ,Melder fejl i status styreenhed igen Mælkedrikke er ikke valgbare,,02816;127166,Nej,Nej
WO046186,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,indmeldt telefonisk 30 60 01 10 Tappen i den røde rensenøgle er knækket ,indmeldt telefonisk 30 60 01 10 Tappen i den røde rensenøgle er knækket,,133555,Ja,Ja
WO046089,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Mælkesensor registreres ikke De har tjekkket at filtersi og sensor er rengjort Den har ikke virket i et par dage Justeret køleskabs temperatur Testet ,Mælkesensor registreres ikke De har tjekkket at filtersi og sensor er rengjort Den har ikke virket i et par dage Justeret køleskabs temperatur Testet,,,Nej,Nej
WO046139,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Melder tom for bønner espresso venstre Der er bønner i og beholder er åben sidder fast på maskinen ,Melder tom for bønner espresso venstre Der er bønner i og beholder er åben sidder fast på maskinen,BCA Er ikke faktureret da de for en uge siden er faktureret for skift af rensepind Der var lidt tid i overskud der og der har ikke været andre nedbrud i 2024 og kun 1 i 2023,,Ja,Nej
WO046128,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Ankommer Hirtshals tirsdag kl 8 00 Lægger vand under maskinen i forbindelse med rengøringsprogrammet ,Ankommer Hirtshals tirsdag kl 800Lægger vand under maskinen i forbindelse med rengøringsprogrammet,,125665,Nej,Nej
WO046114,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Melder water flow error Der er også filterskifte og udvidet service på WO044762 til d 2 8 til FK ,Melder water flow errorDer er også filterskifte og udvidet service på WO044762 til d 2 8 til FK,,,Måske,Nej
WO046102,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Efter forebyggende servicebesøg er kaffen meget bitter ,Efter forebyggende servicebesøg er kaffen meget bitter,,,Nej,Nej
WO046091,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Sag 2 af 3 Giver ikke mælk til hver anden latte Oplevede det også for et par uger siden ,Sag 2 af 3Giver ikke mælk til hver anden latte Oplevede det også for et par uger siden,Kun havde fået nyt personale som ikke var klar over at røret skal renses ,127605,Ja,Nej
WO046090,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Sag 1 af 3 Røde pind pind bag rensenøgle er knækket ,Sag 1 af 3Røde pind pind bag rensenøgle er knækket,,133555,Ja,Nej
WO046083,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,pinden i den røde rensenøgle er knækket af registrerer ikke tabs ,pinden i den røde rensenøgle er knækket af registrerer ikke tabs,,133555,Ja,Ja
WO046069,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kværner ikke altid bønnerne Kopper kaffe er små og udleverer ingen mælk Melder ingen fejl på display og mælkesug er rent samt haft bønnebeholder af og på ,Kværner ikke altid bønnerne Kopper kaffe er små og udleverer ingen mælk Melder ingen fejl på display og mælkesug er rent samt haft bønnebeholder af og på,HKN lavet forebyggende serviceeftersyn så kunne den giver mælk men laver flow fejl ved hver 2 3 americano Lavet flow fejl ved kalibrering af flowmeter Blev bedre efter renset af indløbs ventil så laver den første ved den 3 Kalibrering ,128896;130335,Nej,Nej
WO046075,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Køres mandag Maskinen laver kun halve kopper ,Køres mandag Maskinen laver kun halve kopper,,,Nej,Nej
WO046058,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Oplever igen i dag at den sporadisk ikke vil reagere på tryk på skærm Efter lidt tid vil den godt udlevere drikke og starte rengøring men reagere så ikke på tryk igen ,Oplever igen i dag at den sporadisk ikke vil reagere på tryk på skærm Efter lidt tid vil den godt udlevere drikke og starte rengøring men reagere så ikke på tryk igen,De har forsøgt med genstart OBS Der må gerne tilbagemeldes til MB hvad fejlen og evt løsning er ,137823R;126285R,Nej,Nej
WO046045,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Kommer vand i grumseskuffen og motor lyder ikke godt når den brygger Kommer fint mængde kaffe ud ,Kommer vand i grumseskuffen og motor lyder ikke godt når den brygger Kommer fint mængde kaffe ud,MB Vand i grumseskuffen kan være o ringen på det bevægelige stempel i brygkammeret eller et defekt stempel i brygventilen på boiler ,,Nej,Nej
WO046050,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Maskine melder tilkald opsynsmand Har forsøgt med genstart men kan ikke få lov at trykke på skærm eller gøre noget ,Maskine melder tilkald opsynsmand Har forsøgt med genstart men kan ikke få lov at trykke på skærm eller gøre noget,,126257,Ja,Nej
WO046042,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Ved eks stor latte fylder den kun op til mellem latte Har efterset mælkesug og havde samme oplevelse i går samt rengøring gjort i går aftes ,Ved eks stor latte fylder den kun op til mellem latte Har efterset mælkesug og havde samme oplevelse i går samt rengøring gjort i går aftes,7 8 24 talt med HKN pumpe med varenr 132000000 var forbrugt men er kort tid efter taget ud af maskinen igen skal derfor retur på HKN bil Tages retur på SRO 31502082 kreditnota PCN14877 Testet Americano og den udleverer korrekt mængde HKN jeg er kommet til at notere mælkepumpe på maskinen men det skal på modul b1142268h ,134563;127605;120701,Nej,Nej
WO046040,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Utæt under rens vil ikke gennemføre rens Ingen fejlbeskeder på display Oplyser der er et lille hvidt rør vandet kommer ud af ,Utæt under rens vil ikke gennemføre rens Ingen fejlbeskeder på display Oplyser der er et lille hvidt rør vandet kommer ud af,,127140,Nej,Nej
WO046036,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Maskine er gået i sort og kan ikke lave kaffe m m ,Maskine er gået i sort og kan ikke lave kaffe mm,,,Måske,Nej
WO045996,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kommer ingen skum ved valg af cappuccino sprudler kun Udlevere fint mælken Forsøgt med rens ,Kommer ingen skum ved valg af cappuccino sprudler kun Udlevere fint mælken Forsøgt med rens,Tæller står på 47330,,Nej,Nej
WO046018,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Melder at bønnebeholder er tom forsøgt at tage beholder af Samt larmer lyder mærkelig under rengøring ,Melder at bønnebeholder er tom forsøgt at tage beholder af Samt larmer lyder mærkelig under rengøring,Melder vandfilter eller vandflowfejl var han i tvivl om ,,Nej,Nej
WO046006,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Temperatur i køl er mål til 4 grader i bunde og 10 i toppen ,Temperatur i køl er mål til 4 grader i bunde og 10 i toppen,Tjek gerne begge køleskab Forsøgt at ringe til Molli uden held for at spørge hvilke type termometer de har til at måle og om termometer ligger i køl hele tiden NRB HKN Molli var ikke på arbejde men snakket med Bjarne for at hør hvordan de har målt temperatur det var han ikke sikker på men tænker at det er med infrarød termometer Så måler de ikke med lukkede låge så kan man ikke regne med den faktisk temperatur i køleskabet ,,Ja,Nej
WO046003,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Skærm vil ikke reagere på tryk forsøgt genstart flere gange og startet rengøring men er nu frosset i skærm midt i rengøring ,Skærm vil ikke reagere på tryk forsøgt genstart flere gange og startet rengøring men er nu frosset i skærm midt i rengøring,,,Nej,Nej
