WO,Maskinkategori,Maskinbeskrivelse,Instruktion,Short_description,Teknikker_description,Reservedele,Kundefejl_mads,Faktureret
WO046270,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Skærm er helt sort Kan udlevere kaffe hvis de rammer kaffeikonet på skærmen Har prøvet tænd sluk uden det hjalp,Skærm er helt sort Kan udlevere kaffe hvis de rammer kaffeikonet på skærmen Har prøvet tænd sluk uden det hjalp,Skærm er helt sort Kan udlevere kaffe hvis de rammer kaffeikonet på skærmen Har prøvet tænd sluk uden det hjalp,137823,Nej,Nej
WO046366,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Maskinen vil ikke registrere rensenøgle og de kan derfor ikke rengøre maskinen,Maskinen vil ikke registrere rensenøgle og de kan derfor ikke rengøre maskinen,Maskinen vil ikke registrere rensenøgle og de kan derfor ikke rengøre maskinen,133555,Ja,Ja
WO046365,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Efter besøg i går virker kaffen fint men maskinen lækker temmelig meget vand under rens,Efter besøg i går virker kaffen fint men maskinen lækker temmelig meget vand under rens,Efter besøg i går virker kaffen fint men maskinen lækker temmelig meget vand under rens,,Måske,Nej
WO046364,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Drypper under spildbakken,Drypper under spildbakken,Drypper under spildbakken,,Måske,Nej
WO046363,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Sag 1 af 2 Ved rengøringspram trin 7 af 7 larmede den forleden I går var der ikke noget Her til morgen larmer den meget igen ved trin 7 af 7 Helle har video hun kan vise,Sag 1 af 2 Ved rengøringspram trin 7 af 7 larmede den forleden I går var der ikke noget Her til morgen larmer den meget igen ved trin 7 af 7 Helle har video hun kan vise,Sag 1 af 2 Ved rengøringspram trin 7 af 7 larmede den forleden I går var der ikke noget Her til morgen larmer den meget igen ved trin 7 af 7 Helle har video hun kan vise,,Nej,Nej
WO046337,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Sag 1 af 2 Det sølv omkring maskinen er løs Ikke kun ved grumseskuffen men også ovenoverDer kommer kaffebønner ud af den de ligger på bordet,Sag 1 af 2 Det sølv omkring maskinen er løs Ikke kun ved grumseskuffen men også ovenoverDer kommer kaffebønner ud af den de ligger på bordet,Sag 1 af 2 Det sølv omkring maskinen er løs Ikke kun ved grumseskuffen men også ovenoverDer kommer kaffebønner ud af den de ligger på bordet,,Nej,Nej
WO046314,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Maskinen melder vandflowfejl Har gjort det før Gør det i forbindelse med udlevering af te,Maskinen melder vandflowfejl Har gjort det før Gør det i forbindelse med udlevering af te,Maskinen melder vandflowfejl Har gjort det før Gør det i forbindelse med udlevering af te,,Ja,Nej
WO046332,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Slangen til mælk er knækket gået i stykker og de kan ikke selv reparere det,Slangen til mælk er knækket gået i stykker og de kan ikke selv reparere det,Slangen til mælk er knækket gået i stykker og de kan ikke selv reparere det,,Ja,Nej
WO046318,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Beder om rengøring hele tiden,Beder om rengøring hele tiden,Beder om rengøring hele tiden,,Ja,Nej
WO046317,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Fejlsøge på maskinen vil ikke udlevere mælk Har forsøgt at rense efterse mælkesuge slange på maskine uden held,Fejlsøge på maskinen vil ikke udlevere mælk Har forsøgt at rense efterse mælkesuge slange på maskine uden held,Fejlsøge på maskinen vil ikke udlevere mælk Har forsøgt at rense efterse mælkesuge slange på maskine uden held,130307949;101224,Nej,Nej
WO046300,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Der siver vand ud når maskinen udlevere drikke og når der udføres rengøringsprogram Kan ikke se hvor vand kommer fra VVS'er har konkluderet at det er i forbindelse med brug af kaffemaskinen,Der siver vand ud når maskinen udlevere drikke og når der udføres rengøringsprogram Kan ikke se hvor vand kommer fra VVS'er har konkluderet at det er i forbindelse med brug af kaffemaskinen,Der siver vand ud når maskinen udlevere drikke og når der udføres rengøringsprogram Kan ikke se hvor vand kommer fra VVS'er har konkluderet at det er i forbindelse med brug af kaffemaskinen,130307949,Ja,Nej
WO046307,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Efter service smager kaffen ikke godt Der kommer kun kaffe ud af det ene udløb Når udløbshoved skubbes op er det som om den hele sidder løst Løs mærkelig ved rengøringsprogram i morges,Efter service smager kaffen ikke godt Der kommer kun kaffe ud af det ene udløb Når udløbshoved skubbes op er det som om den hele sidder løst Løs mærkelig ved rengøringsprogram i morges,Efter service smager kaffen ikke godt Der kommer kun kaffe ud af det ene udløb Når udløbshoved skubbes op er det som om den hele sidder løst Løs mærkelig ved rengøringsprogram i morges,,Nej,Nej
WO046255,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Meget gerne besøg i dag Køleskabet er varmt og siger en høj skinger lyd hver 34 minut kunne høre det i telefonen De kan trække kaffedrik men tør ikke prøve med mælkedrik,Meget gerne besøg i dag Køleskabet er varmt og siger en høj skinger lyd hver 34 minut kunne høre det i telefonen De kan trække kaffedrik men tør ikke prøve med mælkedrik,Meget gerne besøg i dag Køleskabet er varmt og siger en høj skinger lyd hver 34 minut kunne høre det i telefonen De kan trække kaffedrik men tør ikke prøve med mælkedrik,126238,Nej,Nej
WO046278,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Splitten i rød rensenøgle er knækket,Splitten i rød rensenøgle er knækket,Splitten i rød rensenøgle er knækket,133555,Ja,Ja
WO046299,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,2 fejl 1 Maskinen udleverer ikke kakao den stopper til 2 Vand under maskinen v rens så de må tørre op,2 fejl 1 Maskinen udleverer ikke kakao den stopper til 2 Vand under maskinen v rens så de må tørre op,2 fejl 1 Maskinen udleverer ikke kakao den stopper til 2 Vand under maskinen v rens så de må tørre op,130307949,Ja,Nej
WO046273,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,flow error,flow error,flow error,,Nej,Nej
WO046199,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Sag 2 af 2Ankommer Hirtshals lørdag 1230 1530Ved drikken mælk eller ved kakao med mælk er mælken OKNår mælk skal skummes sprøjter den bobler ud Sker sporadisk Efter rengøring kan der nogle gange laves 4 drikke med mælkeskum før de oplever det,Sag 2 af 2Ankommer Hirtshals lørdag 1230 1530Ved drikken mælk eller ved kakao med mælk er mælken OKNår mælk skal skummes sprøjter den bobler ud Sker sporadisk Efter rengøring kan der nogle gange laves 4 drikke med mælkeskum før de oplever det,Sag 2 af 2Ankommer Hirtshals lørdag 1230 1530Ved drikken mælk eller ved kakao med mælk er mælken OKNår mælk skal skummes sprøjter den bobler ud Sker sporadisk Efter rengøring kan der nogle gange laves 4 drikke med mælkeskum før de oplever det,118594;119414;127791,Måske,Nej
WO046198,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Sag 1 af 2Ankommer Hirtshals lørdag 1230 1530Ved drikken mælk eller ved kakao med mælk er mælken OKNår mælk skal skummes sprøjter den bobler ud Sker sporadisk Efter rengøring kan der nogle gange laves 4 drikke med mælkeskum før de oplever det,Sag 1 af 2Ankommer Hirtshals lørdag 1230 1530Ved drikken mælk eller ved kakao med mælk er mælken OKNår mælk skal skummes sprøjter den bobler ud Sker sporadisk Efter rengøring kan der nogle gange laves 4 drikke med mælkeskum før de oplever det,Sag 1 af 2Ankommer Hirtshals lørdag 1230 1530Ved drikken mælk eller ved kakao med mælk er mælken OKNår mælk skal skummes sprøjter den bobler ud Sker sporadisk Efter rengøring kan der nogle gange laves 4 drikke med mælkeskum før de oplever det,119414;118594;127791,Måske,Nej
WO046272,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,En af maskinerne BW4c slår sikring Har taget alt andet udstyr fra Ved ikke hvilken af maskinerne der tager sikringen da de ikke kan tage ledningen ud af membrandåse Maskiner er slukket på kontakt og tager alligevel strøm,En af maskinerne BW4c slår sikring Har taget alt andet udstyr fra Ved ikke hvilken af maskinerne der tager sikringen da de ikke kan tage ledningen ud af membrandåse Maskiner er slukket på kontakt og tager alligevel strøm,En af maskinerne BW4c slår sikring Har taget alt andet udstyr fra Ved ikke hvilken af maskinerne der tager sikringen da de ikke kan tage ledningen ud af membrandåse Maskiner er slukket på kontakt og tager alligevel strøm,136318;126284;127140,Nej,Nej
WO046229,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Dette er 3 fejlmelding på mælk til latteVed latte giver den ikke mælk igen det kommer næsten hver gang der skal laves latte Filter i mælkesug er tjekket og det er ikke stoppet til Kaffestrålen er helt vildt tynd ved latteVed cappuccino er den OK den er lige tjekket Giver flot mælk og fint espressoshot,Dette er 3 fejlmelding på mælk til latteVed latte giver den ikke mælk igen det kommer næsten hver gang der skal laves latte Filter i mælkesug er tjekket og det er ikke stoppet til Kaffestrålen er helt vildt tynd ved latteVed cappuccino er den OK den er lige tjekket Giver flot mælk og fint espressoshot,Dette er 3 fejlmelding på mælk til latteVed latte giver den ikke mælk igen det kommer næsten hver gang der skal laves latte Filter i mælkesug er tjekket og det er ikke stoppet til Kaffestrålen er helt vildt tynd ved latteVed cappuccino er den OK den er lige tjekket Giver flot mælk og fint espressoshot,126326,Nej,Nej
WO046230,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,"Skærmen fryser stadigt og der udleveres kun vand hver anden gang de forsøger at lave en drik så det bliver noget ""Mærkeligt væske""","Skærmen fryser stadigt og der udleveres kun vand hver anden gang de forsøger at lave en drik så det bliver noget ""Mærkeligt væske""","Skærmen fryser stadigt og der udleveres kun vand hver anden gang de forsøger at lave en drik så det bliver noget ""Mærkeligt væske""",126313;125723;127791,Nej,Nej
WO046225,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Efter besøg i går kommer der nu slet ikke noget mælk ud Kunde har tjekket at mælken ikke er frosset,Efter besøg i går kommer der nu slet ikke noget mælk ud Kunde har tjekket at mælken ikke er frosset,Efter besøg i går kommer der nu slet ikke noget mælk ud Kunde har tjekket at mælken ikke er frosset,140720,Ja,Nej
WO046260,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Slange der går fra væg til kalkfilter er knækket  faldet af,Slange der går fra væg til kalkfilter er knækket  faldet af,Slange der går fra væg til kalkfilter er knækket  faldet af,1449726,Måske,Nej
WO046232,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC extern grums,Ring og info om tid for besøgRøde pind bag rensenøgle er knækket,Ring og info om tid for besøgRøde pind bag rensenøgle er knækket,Ring og info om tid for besøgRøde pind bag rensenøgle er knækket,133555,Ja,Nej
WO046203,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC MDB-T,Ved americano melder den ofte water flow errorHan fortæller at der også er fejl på maskine på 3 sal Men iht TC er alt ok på 3 sal så der oprettes ingen WO på den maskineDer er sag på forebyggende med filter på alle 3 maskiner hvis ikke det kan nås må du meget gerne nulstille service og filtertæller på alle 3 maskiner,Ved americano melder den ofte water flow errorHan fortæller at der også er fejl på maskine på 3 sal Men iht TC er alt ok på 3 sal så der oprettes ingen WO på den maskineDer er sag på forebyggende med filter på alle 3 maskiner hvis ikke det kan nås må du meget gerne nulstille service og filtertæller på alle 3 maskiner,Ved americano melder den ofte water flow errorHan fortæller at der også er fejl på maskine på 3 sal Men iht TC er alt ok på 3 sal så der oprettes ingen WO på den maskineDer er sag på forebyggende med filter på alle 3 maskiner hvis ikke det kan nås må du meget gerne nulstille service og filtertæller på alle 3 maskiner,,Måske,Nej
WO046158,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Flow error Justering af recept til African,Flow error Justering af recept til African,Flow error Justering af recept til African,125033R,Nej,Nej
WO046185,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Der er problemer med rengrøring Den røde 'dims' omme bagved rengøringstabsen er knækket,Der er problemer med rengrøring Den røde 'dims' omme bagved rengøringstabsen er knækket,Der er problemer med rengrøring Den røde 'dims' omme bagved rengøringstabsen er knækket,133555,Ja,Ja
WO046184,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Efter besøg i sidste uge kommer der næsten ingen mælk ud til mælkedrikke Ingen fejlbesked,Efter besøg i sidste uge kommer der næsten ingen mælk ud til mælkedrikke Ingen fejlbesked,Efter besøg i sidste uge kommer der næsten ingen mælk ud til mælkedrikke Ingen fejlbesked,,Ja,Nej
WO046140,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Der løber meget vand ud af maskinen Er set i går og i dag Kommer umiddelbart fra midten lidt mod højre side Drypbakke er skubbet helt ind på maskinen,Der løber meget vand ud af maskinen Er set i går og i dag Kommer umiddelbart fra midten lidt mod højre side Drypbakke er skubbet helt ind på maskinen,Der løber meget vand ud af maskinen Er set i går og i dag Kommer umiddelbart fra midten lidt mod højre side Drypbakke er skubbet helt ind på maskinen,127140;127140;107944;107944;127135;127135;107944,Nej,Nej
WO046142,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Melder fejl i status styreenhed igen Mælkedrikke er ikke valgbare,Melder fejl i status styreenhed igen Mælkedrikke er ikke valgbare,Melder fejl i status styreenhed igen Mælkedrikke er ikke valgbare,02816;127166,Nej,Nej
WO046186,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,indmeldt telefonisk 30 60 01 10 Tappen i den røde rensenøgle er knækket,indmeldt telefonisk 30 60 01 10 Tappen i den røde rensenøgle er knækket,indmeldt telefonisk 30 60 01 10 Tappen i den røde rensenøgle er knækket,133555,Ja,Ja
WO046089,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Mælkesensor registreres ikke De har tjekkket at filtersi og sensor er rengjort Den har ikke virket i et par dage Justeret køleskabs temperatur Testet,Mælkesensor registreres ikke De har tjekkket at filtersi og sensor er rengjort Den har ikke virket i et par dage Justeret køleskabs temperatur Testet,Mælkesensor registreres ikke De har tjekkket at filtersi og sensor er rengjort Den har ikke virket i et par dage Justeret køleskabs temperatur Testet,,Nej,Nej
WO046139,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Melder tom for bønner espresso  venstre Der er bønner i og beholder er åben sidder fast på maskinen,Melder tom for bønner espresso  venstre Der er bønner i og beholder er åben sidder fast på maskinen,Melder tom for bønner espresso  venstre Der er bønner i og beholder er åben sidder fast på maskinen,,Ja,Nej
WO046128,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Ankommer Hirtshals tirsdag kl 800Lægger vand under maskinen i forbindelse med rengøringsprogrammet,Ankommer Hirtshals tirsdag kl 800Lægger vand under maskinen i forbindelse med rengøringsprogrammet,Ankommer Hirtshals tirsdag kl 800Lægger vand under maskinen i forbindelse med rengøringsprogrammet,125665,Nej,Nej
WO046114,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Melder water flow errorDer er også filterskifte og udvidet service på WO044762 til d 2 8 til FK,Melder water flow errorDer er også filterskifte og udvidet service på WO044762 til d 2 8 til FK,Melder water flow errorDer er også filterskifte og udvidet service på WO044762 til d 2 8 til FK,,Måske,Nej
WO046102,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Efter forebyggende servicebesøg er kaffen meget bitter,Efter forebyggende servicebesøg er kaffen meget bitter,Efter forebyggende servicebesøg er kaffen meget bitter,,Nej,Nej
WO046091,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Sag 2 af 3Giver ikke mælk til hver anden latte Oplevede det også for et par uger siden,Sag 2 af 3Giver ikke mælk til hver anden latte Oplevede det også for et par uger siden,Sag 2 af 3Giver ikke mælk til hver anden latte Oplevede det også for et par uger siden,127605,Ja,Nej
WO046090,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Sag 1 af 3Røde pind pind bag rensenøgle er knækket,Sag 1 af 3Røde pind pind bag rensenøgle er knækket,Sag 1 af 3Røde pind pind bag rensenøgle er knækket,133555,Ja,Nej
WO046083,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,pinden i den røde rensenøgle er knækket af registrerer ikke tabs,pinden i den røde rensenøgle er knækket af registrerer ikke tabs,pinden i den røde rensenøgle er knækket af registrerer ikke tabs,133555,Ja,Ja
